3 inter1 1 a 0 使唤 region1 556
3 inter1 1 a 1 航空公司 region2 372
3 inter1 1 a 2 的 de1 564
3 inter1 1 a 3 飞行员 NP1 884
3 inter1 1 a 4 的 de2 4586
3 inter1 1 a 5 顾客 NP2 420
3 inter1 1 a 6 是加拿大人 end 468
3 inter1 1 a ? {b} 1 5867
3 inter1 2 a 0 写好了 region1 468
3 inter1 2 a 1 人物传记 region2 396
3 inter1 2 a 2 的 de1 340
3 inter1 2 a 3 作家 NP1 396
3 inter1 2 a 4 的 de2 396
3 inter1 2 a 5 出版社 NP2 492
3 inter1 2 a 6 成立100年了。 end 532
3 inter1 2 a ? {a} 1 6562
3 inter1 3 a 0 被 passive 575
3 inter1 3 a 1 读者 region1 11029
3 inter1 3 a 2 烫伤 region2 6593
3 inter1 3 a 3 的 de1 396
3 inter1 3 a 4 那个 dem 14812
3 inter1 3 a 5 出版社 NP1 460
3 inter1 3 a 6 的 de2 356
3 inter1 3 a 7 作家 NP2 348
3 inter1 3 a 8 三十岁了。 end 563
3 inter1 3 a ? {b} 1 10288
3 inter1 4 a 0 娶了 region1 399
3 inter1 4 a 1 客户 region2 332
3 inter1 4 a 2 的 de1 292
3 inter1 4 a 3 公司 NP1 276
3 inter1 4 a 4 的 de2 372
3 inter1 4 a 5 总裁 NP2 380
3 inter1 4 a 6 离婚了。 end 748
3 inter1 4 a ? {a} 1 7057
3 inter1 5 a 0 嫁给了 region1 421
3 inter1 5 a 1 电视台 region2 356
3 inter1 5 a 2 的 de1 356
3 inter1 5 a 3 明星 NP1 372
3 inter1 5 a 4 的 de2 364
3 inter1 5 a 5 老板 NP2 380
3 inter1 5 a 6 播出了新闻。 end 540
3 inter1 5 a ? {b} 1 41311
3 inter1 6 a 0 被 passive 458
3 inter1 6 a 1 顾客 region1 372
3 inter1 6 a 2 打伤 region2 364
3 inter1 6 a 3 的 de1 308
3 inter1 6 a 4 健身教练 NP1 284
3 inter1 6 a 5 的 de2 284
3 inter1 6 a 6 健身房 NP2 284
3 inter1 6 a 7 每天都开。 end 332
3 inter1 6 a ? {b} 1 4245
3 inter1 7 a 0 被 passive 306
3 inter1 7 a 1 学生 region1 228
3 inter1 7 a 2 误伤 region2 220
3 inter1 7 a 3 的 de1 268
3 inter1 7 a 4 那个 dem 308
3 inter1 7 a 5 事务所 NP1 252
3 inter1 7 a 6 的 de2 348
3 inter1 7 a 7 会计 NP2 348
3 inter1 7 a 8 没有证书。 end 420
3 inter1 7 a ? {b} 1 6943
3 inter1 8 a 0 购买了 region1 343
3 inter1 8 a 1 画作 region2 236
3 inter1 8 a 2 的 de1 228
